Date,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Offshore.1,Wind Onshore
2015-04-30,101451.0,607914.0,53955.0,21.0,31135.0,38084.0,6339.0,709172.0,177472.0,165307.0,76101.0,61296.0,187.0,53294.0
2015-05-31,200015.0,1395813.0,85420.0,13.0,83267.0,110915.0,15363.0,2126929.0,406544.0,413880.0,169279.0,191980.0,352.0,180684.0
2015-06-30,130436.0,1308721.0,0.0,111.0,86571.0,111209.0,6403.0,2219360.0,350767.0,459049.0,153765.0,163505.0,515.0,136037.0
2015-07-31,193788.0,1532053.0,79118.0,183.0,88442.0,117902.0,3357.0,1810308.0,320811.0,388245.0,180883.0,192979.0,366.0,162042.0
2015-08-31,196770.0,1490727.0,245062.0,1477.0,83072.0,107453.0,3654.0,1396869.0,329159.0,378544.0,179388.0,136351.0,563.0,116099.0
2015-09-30,190888.0,1999776.0,285811.0,1055.0,91693.0,121405.0,6486.0,1135056.0,387745.0,264130.0,186435.0,182875.0,252.0,170198.0
2015-10-31,200149.0,1975321.0,280947.0,1408.0,102831.0,134903.0,4316.0,2052649.0,431203.0,162504.0,200113.0,122562.0,324.0,92892.0
2015-11-30,188151.0,2155454.0,227397.0,150.0,92420.0,121634.0,11319.0,2175939.0,418702.0,82311.0,171135.0,330673.0,177.0,322231.0
2015-12-31,228809.0,1901249.0,174301.0,40.0,102723.0,134667.0,22407.0,2591310.0,406498.0,66363.0,178874.0,371290.0,71.0,379452.0
2016-01-31,238115.0,1857190.0,174812.0,1055.0,108686.0,146194.0,26989.0,4239945.0,455098.0,73057.0,173143.0,331117.0,131.0,324888.0
2016-02-29,219086.0,1538619.0,49615.0,73.0,103355.0,136519.0,24081.0,3918371.0,435559.0,134988.0,173405.0,254783.0,192.0,301595.0
2016-03-31,220142.0,1703238.0,107097.0,50.0,93189.0,123626.0,28995.0,4058480.0,460134.0,235773.0,137284.0,209727.0,179.0,223589.0
2016-04-30,190947.0,1409968.0,0.0,427.0,82162.0,108842.0,26215.0,3763319.0,416304.0,325086.0,148126.0,178966.0,469.0,180480.0
2016-05-31,226120.0,1253004.0,0.0,0.0,87669.0,117399.0,19700.0,3161231.0,375660.0,410511.0,150708.0,157305.0,609.0,141054.0
2016-06-30,239910.0,1247876.0,0.0,564.0,97078.0,132412.0,25819.0,3131335.0,338228.0,332291.0,118220.0,140418.0,668.0,117438.0
2016-07-31,242652.0,1391649.0,0.0,565.0,75864.0,98720.0,16219.0,3537767.0,315563.0,407266.0,142979.0,154251.0,606.0,130814.0
2016-08-31,227411.0,1500870.0,0.0,139.0,46293.0,60335.0,10222.0,3936585.0,339498.0,379764.0,139717.0,175126.0,491.0,156227.0
2016-09-30,125502.0,1736793.0,0.0,177.0,70412.0,92623.0,4789.0,3066813.0,342754.0,309216.0,114684.0,128922.0,634.0,127159.0
2016-10-31,224740.0,2485117.0,0.0,1795.0,115198.0,153751.0,4521.0,2294828.0,448662.0,170949.0,143915.0,166719.0,742.0,135157.0
2016-11-30,171759.0,2437195.0,0.0,675.0,111233.0,145876.0,7849.0,2808028.0,444919.0,82119.0,147474.0,244238.0,253.0,220125.0
2016-12-31,212131.0,2559835.0,0.0,212.0,107264.0,141627.0,5678.0,3513831.0,470961.0,64448.0,148149.0,179850.0,356.0,181092.0
2017-01-31,242382.0,2490153.0,0.0,4281.0,120013.0,159984.0,9842.0,3628319.0,522923.0,79728.0,190136.0,195558.0,555.0,172572.0
2017-02-28,227921.0,1932368.0,0.0,381.0,95386.0,127555.0,20369.0,3356387.0,439992.0,93921.0,169943.0,246558.0,199.0,250522.0
2017-03-31,233276.0,1799953.0,0.0,23.0,94105.0,124714.0,26879.0,3488852.0,447937.0,257500.0,168923.0,274796.0,162.0,303563.0
2017-04-30,214102.0,1899220.0,0.0,6.0,74181.0,98047.0,9775.0,2081945.0,419877.0,338368.0,172181.0,130574.0,732.0,144770.0
