Date,Biomass,Fossil Gas,Fossil Gas.1,Fossil Hard coal,Fossil Hard coal.1,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Run-of-river and poundage.1,Hydro Water Reservoir,Hydro Water Reservoir.1,Other,Solar,Wind Offshore,Wind Onshore
2015-04-30,92592.0,340371.0,3006.0,486683.0,0.0,53624.0,42738.0,285454.0,339.0,27723.0,469.0,12721.0,33831.0,0.0,308856.0
2015-05-31,232055.0,582783.0,6109.0,1095098.0,604.0,132523.0,123515.0,639085.0,806.0,92340.0,884.0,30547.0,84647.0,0.0,1059593.0
2015-06-30,218948.0,1008429.0,5349.0,1234309.0,379.0,112850.0,73353.0,351945.0,972.0,122595.0,869.0,23760.0,82661.0,0.0,491109.0
2015-07-31,223264.0,1165190.0,4984.0,1257597.0,559.0,114813.0,103918.0,260166.0,1177.0,95995.0,748.0,23308.0,89634.0,0.0,775659.0
2015-08-31,236894.0,934365.0,5118.0,1225745.0,892.0,122889.0,124345.0,237826.0,1268.0,64727.0,888.0,27109.0,79143.0,0.0,724792.0
2015-09-30,232731.0,1069113.0,5186.0,1193362.0,941.0,121463.0,94066.0,316174.0,1135.0,61672.0,963.0,32233.0,68895.0,0.0,646178.0
2015-10-31,221601.0,976020.0,5469.0,1265901.0,229.0,178107.0,153593.0,419007.0,1166.0,171261.0,1241.0,30019.0,48049.0,0.0,1176515.0
2015-11-30,203959.0,903607.0,4613.0,1145013.0,1359.0,172069.0,154068.0,496421.0,985.0,110534.0,961.0,29303.0,47869.0,0.0,835892.0
2015-12-31,203205.0,836274.0,5073.0,1145958.0,1012.0,179127.0,189631.0,343262.0,1212.0,117648.0,1007.0,31407.0,33835.0,0.0,1148106.0
2016-01-31,189679.0,706907.0,6533.0,904965.0,3564.0,436274.0,159736.0,1231964.0,410.0,536999.0,808.0,30494.0,32328.0,0.0,1416370.0
2016-02-29,180846.0,525733.0,5875.0,668157.0,6301.0,457694.0,127665.0,1311551.0,284.0,616625.0,693.0,29607.0,44648.0,0.0,1529847.0
2016-03-31,237961.0,543968.0,4942.0,821054.0,5726.0,330825.0,158496.0,1205394.0,386.0,441183.0,782.0,31815.0,65966.0,0.0,1191934.0
2016-04-30,215025.0,470138.0,4644.0,432697.0,8728.0,461730.0,115103.0,1477434.0,197.0,571228.0,711.0,22428.0,67418.0,0.0,1139377.0
2016-05-31,206267.0,541050.0,4919.0,584169.0,11854.0,362935.0,146927.0,1453737.0,123.0,479811.0,708.0,26913.0,74028.0,0.0,935671.0
2016-06-30,205236.0,1038613.0,4978.0,1136102.0,1367.0,216825.0,58252.0,597248.0,693.0,214925.0,725.0,28991.0,87923.0,0.0,798993.0
2016-07-31,246724.0,1412048.0,5550.0,1241568.0,625.0,196245.0,100496.0,349236.0,1076.0,142260.0,755.0,31610.0,93441.0,0.0,761843.0
2016-08-31,243922.0,1324587.0,5231.0,1220830.0,1108.0,173641.0,90959.0,327383.0,974.0,120337.0,744.0,28985.0,89061.0,0.0,829645.0
2016-09-30,234212.0,1305693.0,4856.0,1255438.0,0.0,196607.0,66628.0,325069.0,1046.0,182655.0,722.0,28342.0,78442.0,0.0,646640.0
2016-10-31,230337.0,1176468.0,5008.0,1102655.0,1040.0,172196.0,154829.0,412811.0,1102.0,173592.0,743.0,23490.0,58207.0,0.0,713637.0
2016-11-30,232891.0,1290339.0,5122.0,1083486.0,913.0,202938.0,175326.0,366685.0,1264.0,152691.0,825.0,19357.0,44246.0,0.0,1155734.0
2016-12-31,251204.0,1298930.0,5412.0,1288723.0,103.0,209533.0,202844.0,441843.0,1302.0,118862.0,781.0,28503.0,45810.0,0.0,1067268.0
2017-01-31,251913.0,1432338.0,6293.0,1271370.0,652.0,288437.0,187843.0,492934.0,1266.0,195985.0,760.0,29498.0,48049.0,0.0,1155701.0
2017-02-28,231989.0,1131793.0,5084.0,926298.0,1895.0,269575.0,131037.0,591567.0,1120.0,268770.0,653.0,26644.0,43458.0,0.0,1318346.0
2017-03-31,244784.0,1241488.0,5244.0,902489.0,3944.0,262839.0,245405.0,640338.0,1065.0,142758.0,765.0,27998.0,65153.0,0.0,1271881.0
2017-04-30,237328.0,1115339.0,5697.0,1037064.0,2675.0,263276.0,303472.0,324892.0,1235.0,73981.0,727.0,27227.0,81958.0,0.0,976996.0
2017-05-31,222570.0,1407835.0,4711.0,1247636.0,562.0,204864.0,203782.0,307239.0,1184.0,63790.0,882.0,14676.0,83643.0,0.0,816237.0
2017-06-30,226099.0,1648130.0,3889.0,1209907.0,436.0,139655.0,154368.0,231693.0,1227.0,87209.0,733.0,23965.0,87718.0,0.0,810900.0
2017-07-31,238675.0,1986635.0,2683.0,1194473.0,2108.0,156666.0,110481.0,127031.0,1317.0,102109.0,735.0,28313.0,93488.0,0.0,886609.0
2017-08-31,243193.0,2063678.0,2239.0,1225328.0,313.0,154543.0,112834.0,153972.0,1179.0,114304.0,729.0,27944.0,90930.0,0.0,822079.0
2017-09-30,224238.0,1639896.0,3581.0,1209335.0,318.0,135867.0,118383.0,133597.0,1173.0,89757.0,731.0,27615.0,82133.0,0.0,829467.0
2017-10-31,222662.0,1309046.0,2794.0,1179067.0,701.0,133928.0,166298.0,99935.0,1338.0,85271.0,745.0,26886.0,68050.0,0.0,739902.0
